School Id,School Name,Address,City,State,Zip Code,Men Arrested,Women Arrested,Total,People arrested using Weapons,People arrested using Drugs,People arrested using Liquor,Suspensions Per 100 Students Year 1 %,Suspensions Per 100 Students Year 2 %,Suspensions Per 100 Students Avg %,Misconducts To Suspensions Year 1 %,Misconducts To Suspensions Year 2 %,Misconducts To Suspensions Avg %
G42174,HIGH TECH HIGH GRADUATE SCHOOL OF EDUCAT,2861 WOMBLE ROAD,SAN DIEGO,CA,92106,8042,9178,17220,21,36,57,3.4,1.5,8.1,13.6,10.7,18.8
1111,ALLAN HANCOCK COLLEGE,800 SO COLLEGE DRIVE,SANTA MARIA,CA,93454,5173,9462,14635,16,44,23,6.1,8.2,8.1,16.6,42.9,18.8
1113,ANTELOPE VALLEY COLLEGE,3041 WEST AVE K,LANCASTER,CA,93536,10052,14084,24136,12,30,97,1.4,1.7,8.1,15.2,18.4,18.8
1116,ART CENTER COLLEGE OF DESIGN,1700 LIDA STREET,PASADENA,CA,91103,17338,21610,38948,23,56,74,2.1,1.6,8.1,22.7,18.2,18.8
1117,AZUSA PACIFIC UNIVERSITY,901 EAST ALOSTA AVENUE,AZUSA,CA,91702,17338,21610,38948,19,28,48,3.6,5.2,8.1,7.7,37.1,18.8
1118,BAKERSFIELD COLLEGE,1801 PANORAMA DRIVE,BAKERSFIELD,CA,93305,17338,21610,38948,21,36,57,0.6,1.5,8.1,2.9,6.7,18.8
1119,BARSTOW COMMUNITY COLLEGE,2700 BARSTOW ROAD,BARSTOW,CA,92311,17338,21610,38948,16,44,23,6,5.7,8.1,27.5,25.4,18.8
1122,BIOLA UNIVERSITY,13800 BIOLA AVE,LA MIRADA,CA,90639,17338,21610,38948,5,29,63,16.5,6,8.1,43.3,36.2,18.8
1124,CABRILLO COLLEGE,6500 SOQUEL DRIVE,APTOS,CA,95003,5972,9556,15528,14,28,54,3.9,2.8,8.1,4.4,3.6,18.8
1125,CALIFORNIA BAPTIST UNIVERSITY,8432 MAGNOLIA AVE,RIVERSIDE,CA,92504,5972,9556,15528,16,32,52,9,24.5,8.1,16.9,25.1,18.8
1127,CALIFORNIA COLLEGE OF THE ARTS,1111 EIGHTH STREET,SAN FRANCISCO,CA,94107,5972,9556,15528,10,43,76,,,8.1,,,18.8
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY,1201 E CALIFORNIA BLVD,PASADENA,CA,91125,16147,21299,37446,12,30,97,14.8,16,8.1,35.1,51.4,18.8
1132,CALIFORNIA INSTITUTE OF THE ARTS,24700 MCBEAN PARKWAY,VALENCIA,CA,91355,11563,16117,27680,23,56,74,1.6,0.7,8.1,83.3,33.3,18.8
1133,CALIFORNIA LUTHERAN UNIVERSITY,60 WEST OLSEN ROAD,THOUSAND OAKS,CA,91360,18784,22764,41548,4,87,50,5.5,2.4,8.1,27.3,9.6,18.8
1134,CALIFORNIA MARITIME ACADEMY,POST OFFICE BOX 1392,VALLEJO,CA,94590,13121,17163,30284,12,30,97,13,3.9,8.1,40.4,23.8,18.8
1137,CALIF STATE UNIV-FULLERTON,800 N STATE CLG BLVD FIN AID,FULLERTON,CA,92831,18966,19223,38189,23,56,74,5,2.9,8.1,47.1,47.5,18.8
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY",25800 CARLOS BEE BLVD,HAYWARD,CA,94542,18966,19223,38189,19,28,48,,,8.1,,,18.8
1139,CALIF STATE UNIV-LONG BEACH,1250 BELLFLOWER BOULEVARD,LONG BEACH,CA,90840,14893,20293,35186,21,36,57,,,8.1,,,18.8
1140,CALIF STATE UNIV-LOS ANGELES,5151 STATE UNIV DR,LOS ANGELES,CA,90032,14893,20293,35186,16,44,23,9.7,6.4,8.1,14.4,22.3,18.8
1141,"CALIF STATE UNIV, DOMINGUEZ HILLS",1000 E VICTORIA STREET,CARSON,CA,90747,14806,16030,30836,60,22,19,3.5,2.9,8.1,15.9,17.4,18.8
1142,CALIF STATE UNIV SAN BERNARDINO,5500 UNIVERSITY PKWY,SAN BERNARDINO,CA,92407,14806,16030,30836,4,87,50,,,8.1,,,18.8
1143,CAL POLY STATE UNIVERSITY,FINANCIAL AID OFFICE,SAN LUIS OBISPO,CA,93407,19683,22225,41908,12,30,97,0.4,0,8.1,1.1,0,18.8
1144,CALIF STATE POLYTECHNIC UNIV POMONA,3801 W TEMPLE AVE,POMONA,CA,91768,10483,10902,21385,23,56,74,0.6,1.5,8.1,30,58.3,18.8
1146,CALIF STATE UNIV - CHICO,400 WEST FIRST STREET,CHICO,CA,95929,17822,15084,32906,16,25,56,0.5,1.6,8.1,12.5,26.9,18.8
1147,CALIF STATE UNIV - FRESNO,5150 N MAPLE AVE MS JA64,FRESNO,CA,93740,1150,1957,3107,13,66,25,7.8,6.2,8.1,18,14.5,18.8
1149,HUMBOLDT STATE UNIVERSITY,1 HARPST ST,ARCATA,CA,95521,1150,1957,3107,60,22,19,2.2,1.3,8.1,7.9,7.1,18.8
1150,CALIF STATE UNIV-SACRAMENTO,6000 J ST,SACRAMENTO,CA,95819,1150,1957,3107,4,87,50,3.9,4.5,8.1,84,64.8,18.8
1151,SAN DIEGO STATE UNIVERSITY,5500 CAMPANILE DRIVE,SAN DIEGO,CA,92182,1150,1957,3107,12,30,97,,,8.1,,,18.8
1153,CALIF STATE UNIV-NORTHRIDGE,18111 NORDHOFF ST,NORTHRIDGE,CA,91330,11326,12171,23497,23,56,74,,,8.1,,,18.8
1154,SAN FRANCISCO STATE UNIVERSITY,1600 HOLLOWAY AVE,SAN FRANCISCO,CA,94132,8644,9224,17868,19,28,48,3.5,10.1,8.1,15.5,22.2,18.8
1155,SAN JOSE STATE UNIVERSITY,ONE WASHINGTON SQUARE,SAN JOSE,CA,95192,109,187,296,21,36,57,,,8.1,,,18.8
1156,SONOMA STATE UNIVERSITY,1801 E COTATI AVE,ROHNERT PARK,CA,94928,1,53,54,16,44,23,0.4,1.4,8.1,14.3,17.5,18.8
1157,CALIF STATE UNIV-STANISLAUS,ONE UNIVERSITY CIRCLE,TURLOCK,CA,95382,15,3,18,8,22,62,0.1,0.1,8.1,3.3,4.2,18.8
1161,CERRITOS COLLEGE,11110 ALONDRA BLVD,NORWALK,CA,90650,216,164,380,9,23,53,,,8.1,,,18.8
1162,CHABOT COLLEGE,25555 HESPERIAN BOULEVARD,HAYWARD,CA,94545,65,145,210,11,19,85,,,8.1,,,18.8
1163,CHAFFEY COLLEGE,5885 HAVEN AVENUE,RANCHO CUCAMONGA,CA,91737,65,145,210,20,55,48,7.4,2.8,8.1,5.3,3.2,18.8
1164,CHAPMAN UNIVERSITY,ONE UNIVERSITY DRIVE,ORANGE,CA,92866,608,840,1448,14,62,66,0.7,0.2,8.1,10.7,25,18.8
1166,CITRUS COLLEGE,1000 W FOOTHILL BLVD,GLENDORA,CA,91741,917,158,1075,7,44,99,0,0,8.1,0,0,18.8
1170,CLAREMONT MCKENNA COLLEGE,890 COLUMBIA AVE,CLAREMONT,CA,91711,264,364,628,10,65,20,0.9,1.1,8.1,4.1,12.5,18.8
1171,HARVEY MUDD COLLEGE,301 PLATT BOULEVARD,CLAREMONT,CA,91711,2389,4088,6477,5,29,63,47.4,27.8,8.1,31.8,18.5,18.8
1172,PITZER COLLEGE,1050 N. MILLS AVE,CLAREMONT,CA,91711,9474,8963,18437,14,28,54,8,21.8,8.1,18.4,20.7,18.8
1173,POMONA COLLEGE,550 N COLLEGE AVE,CLAREMONT,CA,91711,2,151,153,16,32,52,2.3,0.4,8.1,11.1,2.3,18.8
1174,SCRIPPS COLLEGE,1030 COLUMBIA AVE,CLAREMONT,CA,91711,93,263,356,10,43,76,0.7,1.1,8.1,22.2,30,18.8
1176,WEST HILLS COMMUNITY COLLEGE,300 CHERRY LANE,COALINGA,CA,93210,93,263,356,11,19,85,15.7,51.4,8.1,31.5,30.7,18.8
1177,COGSWELL POLYTECHNICAL COLLEGE,1175 BORDEAUX DR,SUNNYVALE,CA,94089,252,55,307,23,56,74,1.8,0.8,8.1,75,66.7,18.8
1178,COLLEGE OF MARIN,835 COLLEGE AVENUE,KENTFIELD,CA,94904,223,208,431,4,87,50,1.4,1.8,8.1,86.7,22.1,18.8
1179,NOTRE DAME DE NAMUR UNIVERSITY,1500 RALSTON AVE,BELMONT,CA,94002,285,95,380,12,30,97,,,8.1,,,18.8
1181,COLLEGE OF SAN MATEO,1700 W HILLSDALE BLVD,SAN MATEO,CA,94402,179,10,189,23,56,74,,1.2,8.1,,75,18.8
B07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,325 NORTH WELLS STREET,CHICAGO,IL,60610,1717,3706,5423,19,28,48,1.8,2.6,8.1,9,60,18.8
E00377,UNIVERSITY OF CHICAGO GRADUATE,"970 EAST 58TH STREET, RM 411",CHICAGO,IL,60637,1717,3706,5423,13,45,75,2.8,1.7,8.1,7.8,10.9,18.8
E00512,"UNIV OF CHICAGO, BOOTH SCH OF BUS",5807 S. WOODLAWN,CHICAGO,IL,60637,1,14,15,15,39,12,4.2,2,8.1,31.3,35.6,18.8
E00606,SO IL UNIV-SCHL OF DENTAL MEDICINE,2800 COLLEGE AVENUE,ALTON,IL,62002,4420,5523,9943,8,22,62,,,8.1,,,18.8
E00773,CHICAGO KENT COLLEGE OF LAW,565 W ADAMS STREET,CHICAGO,IL,60661,2389,4088,6477,9,23,53,,,8.1,,,18.8
E00784,EDUCATORS OF BEAUTY,128 S. 5TH STREET,ROCKFORD,IL,61104,2174,3097,5271,11,19,85,8,7.8,8.1,44.8,94.1,18.8
E00983,PACIFIC COLLEGE OF ORIENTAL MEDICINE - C,65 E. WACKER PLACE,CHICAGO,IL,60601,4420,5523,9943,12,30,97,1.7,1.9,8.1,23.8,41.2,18.8
E01240,HAIR PROFESSIONALS ACADEMY OF COSMETOLOG,1100 NORTH SHERMAN,NAPERVILLE,IL,60563,4420,5523,9943,23,56,74,1.2,0,8.1,75,0,18.8
E01244,RASMUSSEN COLLEGE - ROCKFORD,"6000 EAST STATE STREET, 4TH FLOOR",ROCKFORD,IL,61108,2174,3097,5271,19,28,48,6.8,10.4,8.1,14.6,36.8,18.8
E01510,RASMUSSEN COLLEGE - AURORA,"2363 SEQUOIA DRIVE, SUITE 131",AURORA,IL,60506,2174,3097,5271,21,36,57,78.4,23.3,8.1,32,5,18.8
E01649,RASMUSSEN COLLEGE - ROMEOVILLE,1400 WEST NORMANTOWN ROAD,ROMEOVILLE,IL,60446,2174,3097,5271,13,45,75,4.6,11.9,8.1,10.5,9,18.8
E01717,CORTIVA INSTITUTE - CHICAGO,241 COMMERCE DRIVE,CRYSTAL LAKE,IL,60014,268,317,585,16,44,23,,,8.1,,,18.8
E01865,RASMUSSEN COLLEGE - MOKENA,8650 WEST SPRING LAKE ROAD,MOKENA,IL,60448,31,230,261,12,30,97,,,8.1,,,18.8
E02023,VATTEROTT COLLEGE - FAIRVIEW HEIGHTS,110 COMMERCE LANE,FAIRVIEW HEIGHTS,IL,62208,2,19,21,23,56,74,0.4,0.7,8.1,10,15.4,18.8
E02206,PAUL MITCHELL THE SCHOOL ESCANABA - PAUL,106 YORKTOWN CENTER,LOMBARD,IL,60148,2646,2692,5338,19,28,48,,,8.1,,,18.8
E40390,PAUL MITCHELL THE SCHOOL TINLEY PARK,18454 WEST CREEK DRIVE,TINLEY PARK,IL,60477,11,293,304,21,36,57,2,7.8,8.1,9.6,13.3,18.8
G01661,CHICAGO THEOLOGICAL SEMINARY,5757 S. UNIVERSITY AVENUE,CHICAGO,IL,60637,11,293,304,12,30,97,,,8.1,,,18.8
G01682,GARRETT-EVANGELICAL THEOLOGICAL SEM,2121 SHERIDAN RD,EVANSTON,IL,60201,0,99,99,10,65,20,,,8.1,,,18.8
G01698,JOHN MARSHALL LAW SCHOOL,315 S PLYMOUTH CT,CHICAGO,IL,60604,1,46,47,13,45,75,1.1,1.2,8.1,10.9,13,18.8
G01712,LUTHERAN SCHOOL OF THEOL AT CHICAGO,1100 EAST 55TH STREET,CHICAGO,IL,60615,0,79,79,15,39,12,13.9,10.1,8.1,13.3,15.6,18.8
G01721,MCCORMICK THEOLOGICAL SEMINARY,5460 S. UNIVERSITY AVENUE,CHICAGO,IL,60615,1,105,106,8,22,62,,0.5,8.1,,100,18.8
G01723,MEADVILLE LOMBARD THEOLOGICAL SCHOOL,5701 SOUTH WOODLAWN AVENUE,CHICAGO,IL,60637,3,41,44,5,29,63,15.2,12.6,8.1,54.5,54.6,18.8
G01736,NORTHERN BAPTIST THEOL SEMINARY,660 E BUTTERFIELD RD,LOMBARD,IL,60148,1,79,80,14,28,54,3.3,5.2,8.1,33.1,22.1,18.8
G01765,UNIVERSITY OF ST MARY OF THE LAKE,1000 E MAPLE AVENUE,MUNDELEIN,IL,60060,0,58,58,16,32,52,0.9,0.6,8.1,2.4,2.9,18.8
G09232,CATHOLIC THEOLOGICAL UNION,5401 SOUTH CORNELL AVENUE,CHICAGO,IL,60615,787,1295,2082,10,43,76,26.1,16.6,8.1,55.4,23.8,18.8
G10141,UNIV OF CHICAGO PRITZKER SCH OF MED,924 E 57TH ST SUITE 104,CHICAGO,IL,60637,787,1295,2082,7,44,99,0,0.3,8.1,0,15.4,18.8
G20681,ADLER UNIVERSITY,17 N. DEARBORN,CHICAGO,IL,60602,787,1295,2082,15,77,38,,,8.1,,,18.8
G20754,DEVRY UNIVERSITY - DOWNERS,3005 HIGHLAND PARKWAY,DOWNERS GROVE,IL,60515,236,139,375,19,40,33,10.2,9.1,8.1,10.1,30.7,18.8
G23192,LAKE FOREST GRAD SCHL OF MGMT,1905 WEST FIELD COURT,LAKE FOREST,IL,60045,0,10,10,12,30,97,,,8.1,,,18.8
G25737,INSTITUTE FOR CLINICAL SOCIAL WORK,401 SOUTH STATE STREET,CHICAGO,IL,60605,1229,1703,2932,23,56,74,83.6,49.4,8.1,12.3,14.3,18.8
G35103,ERIKSON INSTITUTE,451 NORTH LASALLE STREET,CHICAGO,IL,60654,282,1136,1418,19,28,48,1.5,1.8,8.1,36.4,43.5,18.8
G36843,NORTHSHORE UNIVERSITY HEALTHSYSTEM SCHOO,2650 RIDGE AVENUE,EVANSTON,IL,60201,1479,3288,4767,13,45,75,0.1,0,8.1,3.8,0,18.8
1628,AMERICAN ACADEMY OF ART,332 S MICHIGAN AVE,CHICAGO,IL,60604,121,132,253,15,39,12,6.2,6.7,8.1,22.6,28.9,18.8
1633,AUGUSTANA COLLEGE,639 38TH ST,ROCK ISLAND,IL,61201,8810,6581,15391,8,22,62,0.6,1.1,8.1,12.3,31.7,18.8
1634,AURORA UNIVERSITY,347 S GLADSTONE AVE,AURORA,IL,60506,8810,6581,15391,21,36,57,,,8.1,,,18.8
