School ID,School Name,City,State,Zip,Phone,Student Count Total,Student Count Low Income,Student Count English Learners,Dress Code,College Enrollment Rate School,Graduation Rate School,Overall Rating
E02116,PAUL MITCHELL THE SCHOOL - SAN DIEGO,SAN DIEGO,CA,92101,7735346400,1146,906,16,N,76.7,97.6,Level 1+
E02133,PLATT COLLEGE - RIVERSIDE,RIVERSIDE,CA,92507,7736266988,107,106,0,N,14.9,,Level 1+
E02208,ADVANCE BEAUTY COLLEGE - LAGUNA HILLS,LAGUNA HILLS,CA,92653,7735351590,325,287,6,Y,61.5,86.1,Level 1
E40398,HUSSIAN SCHOOL OF ART-RELATIVITY CAMPUS,LOS ANGELES,CA,90017,3124555425,572,520,236,N,,,Level 2+
E40424,UEI COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,93308,7735350585,515,277,15,N,,,Level 1
G01120,AMER BAPT SEM OF THE WEST-BERKELEY,BERKELEY,CA,94704,7735359025,202,198,2,Y,,,Level 2
G01165,CHURCH DIV SCH OF THE PACIFIC,BERKELEY,CA,94709,7739455025,518,472,0,Y,,,Level 1
G01169,CLAREMONT GRADUATE UNIVERSITY,CLAREMONT,CA,91711,7735347599,1124,991,95,Y,84.4,71.5,Level 1+
G01200,FULLER THEOLOGICAL SEMINARY,PASADENA,CA,91182,7733212200,573,551,330,Y,,,Level 1
G01207,GRADUATE THEOLOGICAL UNION,BERKELEY,CA,94709,7732855301,542,441,5,Y,,,Level 2+
G01256,PACIFIC SCHOOL OF RELIGION,BERKELEY,CA,94709,7735345800,609,509,154,Y,,,Level 1+
G01279,SAN FRANCISCO THEOLOGICAL SEMINARY,SAN ANSELMO,CA,94960,7735341997,147,142,36,Y,47.2,91.2,Level 2+
G01288,CLAREMONT SCHOOL OF THEOLOGY,CLAREMONT,CA,91711,7735885007,259,222,27,N,16.7,,Level 2+
G01295,SOUTHWESTERN LAW SCHOOL,LOS ANGELES,CA,90010,7736511500,185,181,0,N,19.4,,Level 2
G03947,UC-HASTINGS COLLEGE OF THE LAW,SAN FRANCISCO,CA,94102,7739211315,214,206,0,N,8.9,,Level 1
G04080,STARR KING SCHOOL FOR THE MINISTRY,BERKELEY,CA,94709,7735356235,208,203,0,Y,,,Level 2+
G06976,UNIVERSITY OF SAN DIEGO - SCHOOL OF LAW,SAN DIEGO,CA,92110,7735346125,323,319,4,Y,,,Level 1
G08846,WRIGHT INSTITUTE,BERKELEY,CA,94704,7734172045,10,10,0,N,,,Level 2+
G10013,ALLIANT INTERNATIONAL UNIVERSITY - LOS A,ALHAMBRA,CA,91803,7735343470,587,167,99,Y,,,Level 1+
G10333,JESUIT SCHOOL OF THEOLOGY - BERKELEY,BERKELEY,CA,94709,7735844300,345,319,5,N,,,Level 2
G10441,PARDEE RAND GRADUATE SCHOOL,SANTA MONICA,CA,90407,7735352560,519,234,8,Y,,,Level 1
G11792,FRANCISCAN SCHOOL OF THEOLOGY,OCEANSIDE,CA,92057,7735352690,291,198,0,Y,,,Level 1
G11881,ALLIANT INTERNATIONAL UNIVERSITY - SAN F,SAN FRANCISCO,CA,94133,7735359724,321,281,1,Y,67.1,71.3,Level 2+
G13103,CALIFORNIA WESTERN SCHOOL OF LAW,SAN DIEGO,CA,92101,3124555446,622,594,156,N,,,Level 2+
G20961,FIELDING GRADUATE UNIVERSITY,SANTA BARBARA,CA,93105,3124555434,576,555,304,N,,,Level 1
G21206,SAYBROOK GRADUATE SCHOOL,SAN FRANCISCO,CA,94111,3122257400,392,331,10,Y,81.6,85.7,Level 1
G22220,AMERICAN FILM INSTITUTE,LOS ANGELES,CA,90027,7739227542,269,249,129,N,,,Level 1
G22249,STANFORD UNIVERSITY - GRADUATE SCHOOL OF,STANFORD,CA,94305,7735349710,603,323,5,N,79.6,81.1,Level 1+
G22372,PHILLIPS GRADUATE INSTITUTE,CHATSWORTH,CA,91311,7735345490,709,371,226,N,,,Level 1+
G22676,INSTITUTE OF TRANSPERSONAL PSYCHLGY,PALO ALTO,CA,94303,7739788680,333,333,0,N,7.4,,Level 1+
G22768,WESTMINSTER SEMINARY CALIFORNIA,ESCONDIDO,CA,92027,7734133090,432,417,1,Y,,,Level 2
G24552,STANFORD UNIVERSITY - SCHOOL OF MEDICINE,STANFORD,CA,94305,7735347812,70,70,3,N,,21.4,Level 2
G25111,ALLIANT INTERNATIONAL UNIVERSITY - FRESN,FRESNO,CA,93727,7739022487,17,17,0,N,,,Level 1
G31268,PACIFICA GRADUATE INSTITUTE,CARPINTERIA,CA,93013,7735352715,463,448,1,Y,,,Level 1
G32883,ACAD CHINESE CULTURE & HEALTH SCIS,OAKLAND,CA,94512,7735354945,235,199,59,Y,47.4,71.7,Level 2
G35924,IRELL & MANELLA GRADUATE SCHOOL OF BIOLO,DUARTE,CA,91010,7735355672,174,142,0,Y,,,Level 2+
G38533,KECK GRADUATE INSTITUTE OF APPLIED LIFE,CLAREMONT,CA,91711,7735353350,326,321,1,Y,,,Level 1+
G41004,TAFT UNIVERSITY SYSTEM (THE),SANTA ANA,CA,92704,7735350551,242,239,7,Y,,,Level 2
G41555,"ACADEMY FOR JEWISH RELIGION, CALIFORNIA",LOS ANGELES,CA,90024,7735357021,250,250,13,N,5.1,1.7,Inability to Rate
G42174,HIGH TECH HIGH GRADUATE SCHOOL OF EDUCAT,SAN DIEGO,CA,92106,7735352575,367,333,1,Y,,,Level 1+
1111,ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,93454,7735347300,459,158,41,Y,,,Level 1+
1113,ANTELOPE VALLEY COLLEGE,LANCASTER,CA,93536,7735355115,371,357,0,Y,34.4,62.6,Level 2
1116,ART CENTER COLLEGE OF DESIGN,PASADENA,CA,91103,3129499400,245,226,0,Y,61.4,66.7,Level 2+
1117,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,91702,7739280480,418,391,105,Y,,,Level 2+
1118,BAKERSFIELD COLLEGE,BAKERSFIELD,CA,93305,3126839695,269,246,1,N,,,Inability to Rate
1119,BARSTOW COMMUNITY COLLEGE,BARSTOW,CA,92311,7735347130,519,420,205,Y,,,Level 1+
1122,BIOLA UNIVERSITY,LA MIRADA,CA,90639,7739388578,181,178,6,Y,,,Inability to Rate
1124,CABRILLO COLLEGE,APTOS,CA,95003,7735353085,415,411,0,Y,,,Level 1
1125,CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,92504,7735355625,271,243,1,Y,,,Level 1
1127,CALIFORNIA COLLEGE OF THE ARTS,SAN FRANCISCO,CA,94107,7735352763,250,245,0,Y,,,Level 1
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,7735340146,540,435,38,N,80.4,85.4,Level 1
1132,CALIFORNIA INSTITUTE OF THE ARTS,VALENCIA,CA,91355,7735359300,1288,851,16,N,83.6,89.2,Level 1+
1133,CALIFORNIA LUTHERAN UNIVERSITY,THOUSAND OAKS,CA,91360,7732385330,1321,1207,10,Y,64.9,82.6,Level 2
1134,CALIFORNIA MARITIME ACADEMY,VALLEJO,CA,94590,7735351825,149,131,1,N,,,Inability to Rate
1137,CALIF STATE UNIV-FULLERTON,FULLERTON,CA,92831,7735350040,292,88,6,N,,,Level 1+
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY",HAYWARD,CA,94542,7737210858,495,450,7,Y,,,Level 1+
1139,CALIF STATE UNIV-LONG BEACH,LONG BEACH,CA,90840,7737618960,593,536,71,Y,72,85.2,Level 1+
1140,CALIF STATE UNIV-LOS ANGELES,LOS ANGELES,CA,90032,7733586800,472,430,4,Y,62.3,78.1,Level 1
1141,"CALIF STATE UNIV, DOMINGUEZ HILLS",CARSON,CA,90747,7732786895,346,291,23,N,,,Level 1
1142,CALIF STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CA,92407,7735348440,239,238,0,Y,,,Level 2+
1143,CAL POLY STATE UNIVERSITY,SAN LUIS OBISPO,CA,93407,7735355300,355,348,1,Y,,,Level 1+
1144,CALIF STATE POLYTECHNIC UNIV POMONA,POMONA,CA,91768,7735353160,138,137,8,Y,44.8,71.4,Level 2
1146,CALIF STATE UNIV - CHICO,CHICO,CA,95929,7733412260,11,11,0,Y,18.6,28.6,Inability to Rate
1147,CALIF STATE UNIV - FRESNO,FRESNO,CA,93740,7739022487,19,19,0,N,,,Level 1
1149,HUMBOLDT STATE UNIVERSITY,ARCATA,CA,95521,7735351350,1766,1048,18,N,78.3,84.6,Level 1+
1150,CALIF STATE UNIV-SACRAMENTO,SACRAMENTO,CA,95819,7735344135,780,560,150,Y,,,Level 1+
1151,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,92182,7733586100,487,465,1,Y,53.2,75.2,Level 1
1153,CALIF STATE UNIV-NORTHRIDGE,NORTHRIDGE,CA,91330,7736905500,133,114,0,N,66.7,,Level 2+
1154,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,94132,7735345100,1714,1276,29,N,73.4,88.8,Level 1+
1155,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,95192,7735357860,510,430,34,Y,,,Level 1+
1156,SONOMA STATE UNIVERSITY,ROHNERT PARK,CA,94928,7735354600,979,968,458,Y,,,Level 1+
1157,CALIF STATE UNIV-STANISLAUS,TURLOCK,CA,95382,7735214399,874,837,11,Y,,,Level 1
1161,CERRITOS COLLEGE,NORWALK,CA,90650,7735342045,623,309,92,Y,,,Level 1+
1162,CHABOT COLLEGE,HAYWARD,CA,94545,7735357215,793,712,237,Y,,,Level 1
1163,CHAFFEY COLLEGE,RANCHO CUCAMONGA,CA,91737,7735346176,162,158,1,Y,20.7,56.3,Level 3
1164,CHAPMAN UNIVERSITY,ORANGE,CA,92866,7735355517,259,228,0,Y,,,Level 1
1166,CITRUS COLLEGE,GLENDORA,CA,91741,7735345180,218,173,65,N,0,3.1,Inability to Rate
1170,CLAREMONT MCKENNA COLLEGE,CLAREMONT,CA,91711,7735351804,370,348,4,Y,,,Level 2
1171,HARVEY MUDD COLLEGE,CLAREMONT,CA,91711,7732422212,527,487,27,Y,76.9,82.4,Level 2+
1172,PITZER COLLEGE,CLAREMONT,CA,91711,7735354242,251,246,64,Y,41,80.9,Level 2+
1173,POMONA COLLEGE,CLAREMONT,CA,91711,7735355460,332,316,1,Y,,,Level 1
1174,SCRIPPS COLLEGE,CLAREMONT,CA,91711,7735346730,262,246,0,Y,,,Level 1+
1176,WEST HILLS COMMUNITY COLLEGE,COALINGA,CA,93210,7737159558,478,371,196,Y,,,Level 1
1177,COGSWELL POLYTECHNICAL COLLEGE,SUNNYVALE,CA,94089,7737228577,474,391,41,Y,,,Level 2+
1178,COLLEGE OF MARIN,KENTFIELD,CA,94904,7734346355,285,271,162,Y,,,Level 1+
1179,NOTRE DAME DE NAMUR UNIVERSITY,BELMONT,CA,94002,3122659925,647,588,69,Y,80.5,81.7,Level 1+
1181,COLLEGE OF SAN MATEO,SAN MATEO,CA,94402,7738908020,752,741,145,Y,56.4,82.8,Level 1
B07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,CHICAGO,IL,60610,7735358110,443,434,26,Y,,,Level 1+
E00377,UNIVERSITY OF CHICAGO GRADUATE,CHICAGO,IL,60637,7732520970,333,322,101,N,,,Level 1+
E00512,"UNIV OF CHICAGO, BOOTH SCH OF BUS",CHICAGO,IL,60637,7735348500,486,46,1,N,,,Level 1+
E00606,SO IL UNIV-SCHL OF DENTAL MEDICINE,ALTON,IL,62002,7735345090,633,237,96,N,,,Level 1+
E00773,CHICAGO KENT COLLEGE OF LAW,CHICAGO,IL,60661,7738900055,31,30,3,N,18.2,,Level 2
E00784,EDUCATORS OF BEAUTY,ROCKFORD,IL,61104,7734298955,542,496,1,Y,,,Inability to Rate
E00983,PACIFIC COLLEGE OF ORIENTAL MEDICINE - C,CHICAGO,IL,60601,7735346225,251,226,37,Y,,,Level 2+
E01240,HAIR PROFESSIONALS ACADEMY OF COSMETOLOG,NAPERVILLE,IL,60563,7735346660,446,427,2,Y,,,Level 1
E01244,RASMUSSEN COLLEGE - ROCKFORD,ROCKFORD,IL,61108,7735350880,717,707,3,Y,47.7,53.6,Level 2
E01510,RASMUSSEN COLLEGE - AURORA,AURORA,IL,60506,7734240721,174,166,2,N,27.3,,Level 2+
E01649,RASMUSSEN COLLEGE - ROMEOVILLE,ROMEOVILLE,IL,60446,7735346440,528,522,15,Y,,,Level 1+
E01717,CORTIVA INSTITUTE - CHICAGO,CRYSTAL LAKE,IL,60014,7735343750,426,128,57,N,,,Level 1+
E01865,RASMUSSEN COLLEGE - MOKENA,MOKENA,IL,60448,7735347275,534,505,16,Y,45.2,91.5,Level 1+
E02023,VATTEROTT COLLEGE - FAIRVIEW HEIGHTS,FAIRVIEW HEIGHTS,IL,62208,7735347600,580,502,8,Y,,,Level 1
E02206,PAUL MITCHELL THE SCHOOL ESCANABA - PAUL,LOMBARD,IL,60148,7735342030,196,189,58,Y,,,Level 1
E40390,PAUL MITCHELL THE SCHOOL TINLEY PARK,TINLEY PARK,IL,60477,7735421490,362,353,0,Y,65.8,67.1,Level 1
G01661,CHICAGO THEOLOGICAL SEMINARY,CHICAGO,IL,60637,7735354088,169,138,127,N,,,Inability to Rate
G01682,GARRETT-EVANGELICAL THEOLOGICAL SEM,EVANSTON,IL,60201,3125631748,133,133,1,N,16.7,,Level 1+
G01698,JOHN MARSHALL LAW SCHOOL,CHICAGO,IL,60604,7732610994,83,83,1,N,20.8,,Level 1+
G01712,LUTHERAN SCHOOL OF THEOL AT CHICAGO,CHICAGO,IL,60615,7735354890,728,727,313,Y,,,Level 2+
G01721,MCCORMICK THEOLOGICAL SEMINARY,CHICAGO,IL,60615,7735355582,253,248,4,Y,,,Level 1
G01723,MEADVILLE LOMBARD THEOLOGICAL SCHOOL,CHICAGO,IL,60637,7735350501,610,605,8,Y,,,Level 1+
G01736,NORTHERN BAPTIST THEOL SEMINARY,LOMBARD,IL,60148,7735345150,964,127,40,N,,,Level 1+
G01765,UNIVERSITY OF ST MARY OF THE LAKE,MUNDELEIN,IL,60060,7738541188,259,249,2,N,11.4,7.7,Inability to Rate
G09232,CATHOLIC THEOLOGICAL UNION,CHICAGO,IL,60615,7735346850,490,486,0,Y,,,Level 2+
G10141,UNIV OF CHICAGO PRITZKER SCH OF MED,CHICAGO,IL,60637,7733470200,465,438,1,Y,,,Level 2
G20681,ADLER UNIVERSITY,CHICAGO,IL,60602,7735356540,894,850,189,Y,,,Level 1+
G20754,DEVRY UNIVERSITY - DOWNERS,DOWNERS GROVE,IL,60515,7735353834,591,491,5,N,,,Level 1+
G23192,LAKE FOREST GRAD SCHL OF MGMT,LAKE FOREST,IL,60045,7735357850,431,401,236,Y,,,Level 1
G25737,INSTITUTE FOR CLINICAL SOCIAL WORK,CHICAGO,IL,60605,7735354550,205,195,90,Y,,,Level 1
G35103,ERIKSON INSTITUTE,CHICAGO,IL,60654,7086697828,281,230,21,N,37.8,,Level 2
G36843,NORTHSHORE UNIVERSITY HEALTHSYSTEM SCHOO,EVANSTON,IL,60201,7735357395,942,819,251,Y,,,Level 1
1628,AMERICAN ACADEMY OF ART,CHICAGO,IL,60604,7735343460,702,446,199,Y,,,Level 1
1633,AUGUSTANA COLLEGE,ROCK ISLAND,IL,61201,7734867161,416,354,180,Y,,,Level 2+
1634,AURORA UNIVERSITY,AURORA,IL,60506,7735345010,714,411,13,N,,,Level 1+
1636,SOUTHWESTERN ILLINOIS COLLEGE,BELLEVILLE,IL,62221,7735341762,269,265,0,Y,,,Level 2+
1638,BLACK HAWK COLLEGE,MOLINE,IL,61265,7735359230,286,281,64,Y,21.8,68.7,Level 2
1639,BLACKBURN COLLEGE,CARLINVILLE,IL,62626,7735426766,377,372,0,Y,63.2,69.7,Level 2
1640,PRAIRIE STATE COLLEGE,CHICAGO HEIGHTS,IL,60411,7735341829,449,445,2,Y,,,Level 2+
1641,BRADLEY UNIVERSITY,PEORIA,IL,61625,7734783655,895,711,102,Y,76.6,83.3,Level 1+
1643,SPOON RIVER COLLEGE,CANTON,IL,61520,7735352580,607,224,3,N,,,Level 2+
1647,CITY COLLEGES OF CHICAGO,CHICAGO,IL,60606,7735346820,360,358,0,Y,,,Level 1
1648,TRUMAN COLLEGE,CHICAGO,IL,60640,7735351120,227,217,2,Y,74.7,83.5,Level 1
1649,RICHARD J DALEY COLLEGE,CHICAGO,IL,60652,7735356215,300,289,56,Y,,,Level 2+
1650,CITY COLLEGES OF CHICAGO-MALCOLM X,CHICAGO,IL,60612,3129999360,323,298,3,N,24.4,,Level 1
1652,HAROLD WASHINGTON COLLEGE,CHICAGO,IL,60601,7738908060,77,71,21,N,,,Level 2
1653,OLIVE-HARVEY COLLEGE,CHICAGO,IL,60628,7737727170,131,131,9,N,6.8,,Level 1
1654,KENNEDY KING COLLEGE,CHICAGO,IL,60621,7735356250,350,343,50,Y,,,Level 2
1655,WRIGHT COLLEGE,CHICAGO,IL,60634,7735347500,2108,880,21,N,85.2,96.2,Level 1+
1657,MIDWESTERN UNIVERSITY,DOWNERS GROVE,IL,60515,7735350600,664,649,2,Y,,,Level 1
1659,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE,NORTH CHICAGO,IL,60064,7735347010,375,346,37,N,51,62.9,Level 2+
1663,SPERTUS COLLEGE,CHICAGO,IL,60605,7734681300,344,334,1,Y,,,Level 1
1664,UNIVERSITY OF ST FRANCIS,JOLIET,IL,60435,7737789455,730,680,57,Y,,,Level 2
1665,COLUMBIA COLLEGE,CHICAGO,IL,60605,7735344120,347,98,17,Y,,,Level 1
1666,CONCORDIA UNIVERSITY,RIVER FOREST,IL,60305,7735347755,269,244,1,Y,60,69.5,Level 2
1669,DANVILLE AREA COMMUNITY COLLEGE,DANVILLE,IL,61832,7735355250,494,451,15,Y,45.7,91,Level 1
1671,DEPAUL UNIVERSITY,CHICAGO,IL,60604,7735341188,488,69,36,Y,,,Level 1+
1674,EASTERN ILLINOIS UNIVERSITY,CHARLESTON,IL,61920,7735346900,170,150,3,Y,35.9,57.9,Level 2
1675,ELGIN COMMUNITY COLLEGE,ELGIN,IL,60123,7735359930,916,666,2,N,85.1,93.4,Level 1+
1676,ELMHURST COLLEGE,ELMHURST,IL,60126,7735355850,417,408,145,Y,,,Level 2+
1678,EUREKA COLLEGE,EUREKA,IL,61530,7735353565,430,397,8,Y,,,Level 2
1681,HIGHLAND COMMUNITY COLLEGE,FREEPORT,IL,61032,2156691475,204,203,1,N,7.8,,Level 1+
1684,GREENVILLE COLLEGE,GREENVILLE,IL,62246,7734881634,491,399,0,N,,,Level 2+
1685,HEBREW THEOLOGICAL COLLEGE,SKOKIE,IL,60077,7735358250,375,356,0,Y,,,Level 1
1688,ILLINOIS COLLEGE,JACKSONVILLE,IL,62650,7735356640,404,387,2,Y,,,Level 2+
1689,ILLINOIS COLLEGE OF OPTOMETRY,CHICAGO,IL,60616,7735352076,167,106,76,N,,,Inability to Rate
1691,ILLINOIS INSTITUTE OF TECHNOLOGY,CHICAGO,IL,60616,7735357930,495,473,73,Y,72.7,69.9,Level 1+
1692,ILLINOIS STATE UNIVERSITY,NORMAL,IL,61790,7735362399,355,231,2,Y,,,Level 1
1693,NORTHEASTERN ILLINOIS UNIV,CHICAGO,IL,60625,7735347070,578,344,67,Y,,,Level 1+
1694,CHICAGO STATE UNIVERSITY,CHICAGO,IL,60628,7735342201,291,39,0,N,,,Level 1+
1696,ILLINOIS WESLEYAN UNIVERSITY,BLOOMINGTON,IL,61701,3125639044,97,96,2,N,8.3,,Level 1
1699,JOLIET JUNIOR COLLEGE,JOLIET,IL,60431,7735355525,212,85,0,N,,,Level 1+
1700,JUDSON UNIVERSITY,ELGIN,IL,60123,7735353275,440,435,1,Y,,,Level 2
1701,KASKASKIA COLLEGE,CENTRALIA,IL,62801,7739074840,147,128,18,N,26.4,,Level 1
1703,KENDALL COLLEGE,CHICAGO,IL,60622,7735821100,460,319,140,Y,,,Level 1
1704,KNOX COLLEGE,GALESBURG,IL,61401,7734784434,421,394,2,Y,64.3,78.6,Level 2+
1705,ILLINOIS VALLEY COMMUNITY COLLEGE,OGLESBY,IL,61348,7735344400,756,722,275,Y,,,Level 2+
1706,LAKE FOREST COLLEGE,LAKE FOREST,IL,60045,7735344000,710,667,62,Y,43.3,83.5,Level 2+
1707,LEWIS UNIVERSITY,ROMEOVILLE,IL,60446,7735341635,295,293,0,Y,,,Level 2
1708,LINCOLN CHRISTIAN UNIVERSITY,LINCOLN,IL,62656,7735352170,661,377,55,Y,,,Level 1
1709,LINCOLN COLLEGE,LINCOLN,IL,62656,7735355385,357,344,0,Y,,,Level 2
1710,LOYOLA UNIVERSITY CHICAGO,CHICAGO,IL,60626,7735791220,347,312,32,N,22.4,,Level 2
1716,MACCORMAC COLLEGE,CHICAGO,IL,60602,3124290027,0,0,0,N,18.2,,Inability to Rate
1717,MACMURRAY COLLEGE,JACKSONVILLE,IL,62650,7735351666,418,412,14,Y,,,Level 1+
1722,MCKENDREE UNIVERSITY,LEBANON,IL,62254,7735345766,407,380,139,Y,,,Level 1+
1724,MILLIKIN UNIVERSITY,DECATUR,IL,62522,7735347405,349,312,4,Y,,,Level 2+
1725,MONMOUTH COLLEGE,MONMOUTH,IL,61462,7735342000,629,588,235,Y,51.5,64,Level 2+
1727,MOODY BIBLE INSTITUTE,CHICAGO,IL,60610,7735348470,562,170,16,Y,,,Level 1+
1728,MORTON COLLEGE,CICERO,IL,60804,7737220200,639,574,7,Y,,,Level 2
1732,NATIONAL UNIV OF HEALTH SCIENCES,LOMBARD,IL,60148,7735652100,287,268,14,N,,,Level 2+
1733,NATIONAL-LOUIS UNIVERSITY,CHICAGO,IL,60603,7735341600,585,562,367,Y,,,Inability to Rate
1734,NORTH CENTRAL COLLEGE,NAPERVILLE,IL,60540,7736240700,292,237,4,Y,,,Level 1
1735,NORTH PARK UNIVERSITY,CHICAGO,IL,60625,7735340540,273,26,2,N,,,Level 1+
1737,NORTHERN ILLINOIS UNIVERSITY,DEKALB,IL,60115,7735341650,515,493,204,Y,,,Level 2+
1739,NORTHWESTERN UNIV,EVANSTON,IL,60208,7735341530,361,354,2,Y,,,Level 1+
1741,OLIVET NAZARENE UNIVERSITY,BOURBONNAIS,IL,60914,7735356425,251,210,0,Y,,,Level 1
1742,IL EASTERN COMM COLGS-OLNEY CENTRAL,OLNEY,IL,62450,7735353530,154,138,0,Y,50.7,73.9,Level 2
1745,QUINCY UNIVERSITY,QUINCY,IL,62301,7736482130,161,161,16,N,6.9,,Level 1
1746,ROBERT MORRIS UNIVERSITY ILLINOIS,CHICAGO,IL,60605,7735341070,789,102,40,N,,,Level 1+
1747,ROCK VALLEY COLLEGE,ROCKFORD,IL,61114,7735352500,706,290,8,N,79.8,74.7,Level 1+
1748,ROCKFORD UNIVERSITY,ROCKFORD,IL,61108,7735341770,1084,1046,365,Y,,,Level 2+
1749,ROOSEVELT UNIVERSITY,CHICAGO,IL,60605,7735351757,294,292,5,Y,,,Level 1+
1750,DOMINICAN UNIVERSITY,RIVER FOREST,IL,60305,7735347665,489,452,155,Y,,,Level 1
1752,SAUK VALLEY COMMUNITY COLLEGE,DIXON,IL,61021,7735211303,412,392,0,Y,,,Level 2+
1753,SCHOOL OF ART INSTITUTE OF CHICAGO,CHICAGO,IL,60603,7735345550,570,110,8,N,,,Level 1+
1756,SHIMER COLLEGE,CHICAGO,IL,60616,7735354466,331,323,52,Y,,,Level 1
1757,SOUTHEASTERN ILLINOIS COLLEGE,HARRISBURG,IL,62946,7735352080,743,378,90,Y,,,Level 1
