SchoolCode,SchoolName,City,StateCode,ZipCode,Student Count Black,Student Count Hispanic,Student Count White,Student Count Asian,Student Count Native American,men total,women total,Total
E02091,NCP COLLEGE OF NURSING - HAYWARD CAMPUS,HAYWARD,CA,94541,666,888,444,1332,1110,1765,2679,4442
E02113,PAUL MITCHELL THE SCHOOL-COSTA MESA,COSTA MESA,CA,92626,395,526,263,790,658,1055,1581,2634
E02116,PAUL MITCHELL THE SCHOOL - SAN DIEGO,SAN DIEGO,CA,92101,4301,5735,2867,8602,7168,13420,15258,28675
E02133,PLATT COLLEGE - RIVERSIDE,RIVERSIDE,CA,92507,72,96,48,144,120,280,205,483
E02208,ADVANCE BEAUTY COLLEGE - LAGUNA HILLS,LAGUNA HILLS,CA,92653,3487,4649,2324,6974,5812,2251,20999,23249
E40398,HUSSIAN SCHOOL OF ART-RELATIVITY CAMPUS,LOS ANGELES,CA,90017,3340,4454,2227,6681,5567,9367,12906,22270
E40424,UEI COLLEGE - BAKERSFIELD,BAKERSFIELD,CA,93308,3344,4459,2229,6688,5573,10495,11803,22295
G01120,AMER BAPT SEM OF THE WEST-BERKELEY,BERKELEY,CA,94704,1944,2592,1296,3888,3240,7898,5065,12960
G01165,CHURCH DIV SCH OF THE PACIFIC,BERKELEY,CA,94709,7536,10049,5024,15073,12561,26071,24177,50246
G01169,CLAREMONT GRADUATE UNIVERSITY,CLAREMONT,CA,91711,9,12,6,18,15,66,0,63
G01200,FULLER THEOLOGICAL SEMINARY,PASADENA,CA,91182,256,342,171,513,428,907,808,1713
G01207,GRADUATE THEOLOGICAL UNION,BERKELEY,CA,94709,816,1088,544,1632,1360,2249,3191,5440
G01256,PACIFIC SCHOOL OF RELIGION,BERKELEY,CA,94709,405,541,270,811,676,1118,1589,2705
G01279,SAN FRANCISCO THEOLOGICAL SEMINARY,SAN ANSELMO,CA,94960,1349,1798,899,2698,2248,4019,4977,8994
G01288,CLAREMONT SCHOOL OF THEOLOGY,CLAREMONT,CA,91711,53,71,35,106,88,207,152,355
G01295,SOUTHWESTERN LAW SCHOOL,LOS ANGELES,CA,90010,19,26,13,39,32,43,89,130
G03947,UC-HASTINGS COLLEGE OF THE LAW,SAN FRANCISCO,CA,94102,55,74,37,111,92,88,284,370
G04080,STARR KING SCHOOL FOR THE MINISTRY,BERKELEY,CA,94709,15,20,10,30,25,30,75,103
G06976,UNIVERSITY OF SAN DIEGO - SCHOOL OF LAW,SAN DIEGO,CA,92110,7,10,5,15,13,54,0,52
G08846,WRIGHT INSTITUTE,BERKELEY,CA,94704,3,4,2,6,5,8,18,23
G10013,ALLIANT INTERNATIONAL UNIVERSITY - LOS A,ALHAMBRA,CA,91803,2087,2783,1391,4174,3478,4950,8969,13915
G10333,JESUIT SCHOOL OF THEOLOGY - BERKELEY,BERKELEY,CA,94709,2057,2743,1371,4114,3428,5958,7761,13715
G10441,PARDEE RAND GRADUATE SCHOOL,SANTA MONICA,CA,90407,687,916,458,1374,1145,2057,2524,4580
G11792,FRANCISCAN SCHOOL OF THEOLOGY,OCEANSIDE,CA,92057,55,74,37,111,93,145,229,372
G11881,ALLIANT INTERNATIONAL UNIVERSITY - SAN F,SAN FRANCISCO,CA,94133,34,46,23,69,58,222,13,233
G13103,CALIFORNIA WESTERN SCHOOL OF LAW,SAN DIEGO,CA,92101,9,12,6,18,15,39,26,63
G20961,FIELDING GRADUATE UNIVERSITY,SANTA BARBARA,CA,93105,16,22,11,33,27,26,86,110
G21206,SAYBROOK GRADUATE SCHOOL,SAN FRANCISCO,CA,94111,17,23,11,34,28,29,89,115
G22220,AMERICAN FILM INSTITUTE,LOS ANGELES,CA,90027,134,179,89,268,223,321,578,895
G22249,STANFORD UNIVERSITY - GRADUATE SCHOOL OF,STANFORD,CA,94305,246,328,164,492,410,705,941,1643
G22372,PHILLIPS GRADUATE INSTITUTE,CHATSWORTH,CA,91311,470,627,313,940,783,1421,1718,3135
G22676,INSTITUTE OF TRANSPERSONAL PSYCHLGY,PALO ALTO,CA,94303,516,689,344,1033,861,1242,2206,3446
G22768,WESTMINSTER SEMINARY CALIFORNIA,ESCONDIDO,CA,92027,5,6,3,10,8,1,35,34
G24552,STANFORD UNIVERSITY - SCHOOL OF MEDICINE,STANFORD,CA,94305,63,85,42,127,106,77,351,426
G25111,ALLIANT INTERNATIONAL UNIVERSITY - FRESN,FRESNO,CA,93727,3465,4620,2310,6930,5775,11986,11115,23100
G31268,PACIFICA GRADUATE INSTITUTE,CARPINTERIA,CA,93013,6,8,4,12,10,8,32,40
G32883,ACAD CHINESE CULTURE & HEALTH SCIS,OAKLAND,CA,94512,9,12,6,18,15,3,59,60
G35924,IRELL & MANELLA GRADUATE SCHOOL OF BIOLO,DUARTE,CA,91010,45,60,30,90,75,37,265,300
G38533,KECK GRADUATE INSTITUTE OF APPLIED LIFE,CLAREMONT,CA,91711,7,10,5,15,12,34,18,50
G41004,TAFT UNIVERSITY SYSTEM (THE),SANTA ANA,CA,92704,429,572,286,858,715,1079,1781,2860
G41555,"ACADEMY FOR JEWISH RELIGION, CALIFORNIA",LOS ANGELES,CA,90024,5,6,3,10,8,7,29,34
G42174,HIGH TECH HIGH GRADUATE SCHOOL OF EDUCAT,SAN DIEGO,CA,92106,66,89,44,133,111,119,330,446
1111,ALLAN HANCOCK COLLEGE,SANTA MARIA,CA,93454,2214,2953,1476,4429,3691,6679,8088,14765
1113,ANTELOPE VALLEY COLLEGE,LANCASTER,CA,93536,19,26,13,39,33,2,133,133
1116,ART CENTER COLLEGE OF DESIGN,PASADENA,CA,91103,942,1256,628,1884,1570,2762,3521,6280
1117,AZUSA PACIFIC UNIVERSITY,AZUSA,CA,91702,49,65,32,98,82,100,230,329
1118,BAKERSFIELD COLLEGE,BAKERSFIELD,CA,93305,15,21,10,31,26,43,64,105
1119,BARSTOW COMMUNITY COLLEGE,BARSTOW,CA,92311,159,213,106,319,266,75,993,1066
1122,BIOLA UNIVERSITY,LA MIRADA,CA,90639,276,369,184,553,461,664,1184,1846
1124,CABRILLO COLLEGE,APTOS,CA,95003,510,680,340,1020,850,1519,1885,3402
1125,CALIFORNIA BAPTIST UNIVERSITY,RIVERSIDE,CA,92504,249,332,166,498,415,729,931,1660
1127,CALIFORNIA COLLEGE OF THE ARTS,SAN FRANCISCO,CA,94107,2768,3691,1845,5536,4613,8569,9890,18455
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY,PASADENA,CA,91125,499,665,332,998,832,1236,2095,3329
1132,CALIFORNIA INSTITUTE OF THE ARTS,VALENCIA,CA,91355,820,1093,546,1640,1367,1451,4020,5469
1133,CALIFORNIA LUTHERAN UNIVERSITY,THOUSAND OAKS,CA,91360,523,698,349,1047,872,1120,2372,3490
1134,CALIFORNIA MARITIME ACADEMY,VALLEJO,CA,94590,957,1276,638,1914,1595,2563,3823,6383
1137,CALIF STATE UNIV-FULLERTON,FULLERTON,CA,92831,63,85,42,127,106,76,353,426
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY",HAYWARD,CA,94542,222,296,148,444,370,589,893,1480
1139,CALIF STATE UNIV-LONG BEACH,LONG BEACH,CA,90840,61,82,41,123,103,208,206,412
1140,CALIF STATE UNIV-LOS ANGELES,LOS ANGELES,CA,90032,123,164,82,246,205,385,437,820
1141,"CALIF STATE UNIV, DOMINGUEZ HILLS",CARSON,CA,90747,39,52,26,78,65,56,206,260
1142,CALIF STATE UNIV SAN BERNARDINO,SAN BERNARDINO,CA,92407,123,164,82,246,205,126,698,822
1143,CAL POLY STATE UNIVERSITY,SAN LUIS OBISPO,CA,93407,17,23,11,34,28,14,105,115
1144,CALIF STATE POLYTECHNIC UNIV POMONA,POMONA,CA,91768,109,145,72,218,182,94,637,729
1146,CALIF STATE UNIV - CHICO,CHICO,CA,95929,8,11,5,16,13,51,8,55
1147,CALIF STATE UNIV - FRESNO,FRESNO,CA,93740,434,579,289,868,723,544,2353,2895
1149,HUMBOLDT STATE UNIVERSITY,ARCATA,CA,95521,651,868,434,1302,1085,1409,2936,4343
1150,CALIF STATE UNIV-SACRAMENTO,SACRAMENTO,CA,95819,2576,3435,1717,5152,4293,8239,8939,17175
1151,SAN DIEGO STATE UNIVERSITY,SAN DIEGO,CA,92182,416,555,277,832,693,1653,1126,2775
1153,CALIF STATE UNIV-NORTHRIDGE,NORTHRIDGE,CA,91330,1781,2375,1187,3562,2968,4487,7391,11875
1154,SAN FRANCISCO STATE UNIVERSITY,SAN FRANCISCO,CA,94132,6468,8624,4312,12936,10780,19720,23403,43120
1155,SAN JOSE STATE UNIVERSITY,SAN JOSE,CA,95192,486,648,324,972,810,1747,1496,3240
1156,SONOMA STATE UNIVERSITY,ROHNERT PARK,CA,94928,858,1144,572,1716,1430,2823,2898,5720
1157,CALIF STATE UNIV-STANISLAUS,TURLOCK,CA,95382,10,14,7,21,17,5,68,70
1161,CERRITOS COLLEGE,NORWALK,CA,90650,18,25,12,37,31,16,113,126
1162,CHABOT COLLEGE,HAYWARD,CA,94545,30,40,20,60,50,36,169,203
1163,CHAFFEY COLLEGE,RANCHO CUCAMONGA,CA,91737,8,11,5,16,13,19,40,55
1164,CHAPMAN UNIVERSITY,ORANGE,CA,92866,396,528,264,792,660,788,1856,2642
1166,CITRUS COLLEGE,GLENDORA,CA,91741,459,613,306,919,766,1343,1725,3066
1170,CLAREMONT MCKENNA COLLEGE,CLAREMONT,CA,91711,665,887,443,1330,1108,1603,2836,4435
1171,HARVEY MUDD COLLEGE,CLAREMONT,CA,91711,13,17,8,26,22,0,91,89
1172,PITZER COLLEGE,CLAREMONT,CA,91711,206,274,137,412,343,688,688,1374
1173,POMONA COLLEGE,CLAREMONT,CA,91711,762,1016,508,1524,1270,1723,3358,5080
1174,SCRIPPS COLLEGE,CLAREMONT,CA,91711,136,182,91,273,227,192,721,910
1176,WEST HILLS COMMUNITY COLLEGE,COALINGA,CA,93210,1001,1335,667,2002,1668,2731,3948,6675
1177,COGSWELL POLYTECHNICAL COLLEGE,SUNNYVALE,CA,94089,159,213,106,319,266,75,993,1066
1178,COLLEGE OF MARIN,KENTFIELD,CA,94904,3864,5152,2576,7728,6440,11236,14524,25760
1179,NOTRE DAME DE NAMUR UNIVERSITY,BELMONT,CA,94002,3864,5152,2576,7728,6440,11236,14524,25760
1181,COLLEGE OF SAN MATEO,SAN MATEO,CA,94402,3864,5152,2576,7728,6440,11236,14524,25760
B07022,THE CHICAGO SCHOOL OF PROF PSYCHOLOGY,CHICAGO,IL,60610,3864,5152,2576,7728,6440,11236,14524,25760
E00377,UNIVERSITY OF CHICAGO GRADUATE,CHICAGO,IL,60637,3864,5152,2576,7728,6440,11236,14524,25760
E00512,"UNIV OF CHICAGO, BOOTH SCH OF BUS",CHICAGO,IL,60637,3864,5152,2576,7728,6440,11236,14524,25760
E00606,SO IL UNIV-SCHL OF DENTAL MEDICINE,ALTON,IL,62002,3864,5152,2576,7728,6440,11236,14524,25760
E00773,CHICAGO KENT COLLEGE OF LAW,CHICAGO,IL,60661,6,9,4,13,11,8,39,45
E00784,EDUCATORS OF BEAUTY,ROCKFORD,IL,61104,4092,5456,2728,8184,6820,12287,14998,27283
E00983,PACIFIC COLLEGE OF ORIENTAL MEDICINE - C,CHICAGO,IL,60601,2323,3097,1548,4646,3872,7146,8344,15489
E01240,HAIR PROFESSIONALS ACADEMY OF COSMETOLOG,NAPERVILLE,IL,60563,60,80,40,120,100,179,223,400
E01244,RASMUSSEN COLLEGE - ROCKFORD,ROCKFORD,IL,61108,784,1045,522,1568,1307,2659,2572,5229
E01510,RASMUSSEN COLLEGE - AURORA,AURORA,IL,60506,45,60,30,90,75,86,215,300
E01649,RASMUSSEN COLLEGE - ROMEOVILLE,ROMEOVILLE,IL,60446,16,22,11,33,27,57,55,110
E01717,CORTIVA INSTITUTE - CHICAGO,CRYSTAL LAKE,IL,60014,142,190,95,285,237,390,563,950
E01865,RASMUSSEN COLLEGE - MOKENA,MOKENA,IL,60448,12,16,8,24,20,18,64,80
E02023,VATTEROTT COLLEGE - FAIRVIEW HEIGHTS,FAIRVIEW HEIGHTS,IL,62208,27,37,18,55,46,52,136,186
E02206,PAUL MITCHELL THE SCHOOL ESCANABA - PAUL,LOMBARD,IL,60148,66,88,44,132,110,64,378,440
E40390,PAUL MITCHELL THE SCHOOL TINLEY PARK,TINLEY PARK,IL,60477,17,23,11,34,28,9,108,115
G01661,CHICAGO THEOLOGICAL SEMINARY,CHICAGO,IL,60637,40,54,27,81,67,60,212,270
G01682,GARRETT-EVANGELICAL THEOLOGICAL SEM,EVANSTON,IL,60201,22,30,15,45,38,13,141,152
G01698,JOHN MARSHALL LAW SCHOOL,CHICAGO,IL,60604,91,121,60,182,152,195,415,609
G01712,LUTHERAN SCHOOL OF THEOL AT CHICAGO,CHICAGO,IL,60615,27,36,18,54,45,11,171,180
G01721,MCCORMICK THEOLOGICAL SEMINARY,CHICAGO,IL,60615,527,703,351,1054,878,1226,2292,3515
G01723,MEADVILLE LOMBARD THEOLOGICAL SCHOOL,CHICAGO,IL,60637,267,357,178,535,446,796,991,1785
G01736,NORTHERN BAPTIST THEOL SEMINARY,LOMBARD,IL,60148,3931,5242,2621,7863,6552,11123,15089,26210
G01765,UNIVERSITY OF ST MARY OF THE LAKE,MUNDELEIN,IL,60060,719,959,479,1438,1198,1785,3012,4795
G09232,CATHOLIC THEOLOGICAL UNION,CHICAGO,IL,60615,366,488,244,732,610,1455,990,2443
G10141,UNIV OF CHICAGO PRITZKER SCH OF MED,CHICAGO,IL,60637,465,620,310,930,775,1078,2026,3102
G20681,ADLER UNIVERSITY,CHICAGO,IL,60602,1376,1835,917,2752,2293,2849,6330,9175
G20754,DEVRY UNIVERSITY - DOWNERS,DOWNERS GROVE,IL,60515,4023,5364,2682,8046,6705,11525,15300,26823
G23192,LAKE FOREST GRAD SCHL OF MGMT,LAKE FOREST,IL,60045,405,540,270,810,675,1370,1332,2700
G25737,INSTITUTE FOR CLINICAL SOCIAL WORK,CHICAGO,IL,60605,7811,10415,5207,15622,13018,25476,26602,52075
G35103,ERIKSON INSTITUTE,CHICAGO,IL,60654,970,1294,647,1941,1617,2787,3686,6470
G36843,NORTHSHORE UNIVERSITY HEALTHSYSTEM SCHOO,EVANSTON,IL,60201,4899,6532,3266,9798,8165,18733,13930,32660
1628,AMERICAN ACADEMY OF ART,CHICAGO,IL,60604,4,6,3,9,8,3,31,32
1633,AUGUSTANA COLLEGE,ROCK ISLAND,IL,61201,29,39,19,58,48,187,11,195
1634,AURORA UNIVERSITY,AURORA,IL,60506,21,28,14,42,35,6,138,142
1636,SOUTHWESTERN ILLINOIS COLLEGE,BELLEVILLE,IL,62221,72,96,48,144,120,46,440,483
1638,BLACK HAWK COLLEGE,MOLINE,IL,61265,50,67,33,100,83,41,298,335
1639,BLACKBURN COLLEGE,CARLINVILLE,IL,62626,13,18,9,27,23,9,86,93
1640,PRAIRIE STATE COLLEGE,CHICAGO HEIGHTS,IL,60411,13,17,8,26,22,18,72,89
1641,BRADLEY UNIVERSITY,PEORIA,IL,61625,342,456,228,684,570,1073,1213,2283
1643,SPOON RIVER COLLEGE,CANTON,IL,61520,554,739,369,1108,923,2275,1424,3695
1647,CITY COLLEGES OF CHICAGO,CHICAGO,IL,60606,1781,2375,1187,3562,2968,4487,7391,11875
1648,TRUMAN COLLEGE,CHICAGO,IL,60640,346,462,231,693,578,1151,1164,2313
1649,RICHARD J DALEY COLLEGE,CHICAGO,IL,60652,525,701,350,1051,876,1109,2400,3506
1650,CITY COLLEGES OF CHICAGO-MALCOLM X,CHICAGO,IL,60612,6510,8680,4340,13020,10850,20662,22739,43400
1652,HAROLD WASHINGTON COLLEGE,CHICAGO,IL,60601,95,127,63,190,158,160,479,635
1653,OLIVE-HARVEY COLLEGE,CHICAGO,IL,60628,10,14,7,21,17,7,65,70
1654,KENNEDY KING COLLEGE,CHICAGO,IL,60621,23,31,15,46,38,9,150,155
1655,WRIGHT COLLEGE,CHICAGO,IL,60634,667,889,444,1334,1112,1774,2676,4449
1657,MIDWESTERN UNIVERSITY,DOWNERS GROVE,IL,60515,66,88,44,132,110,168,276,442
1659,ROSALIND FRANKLIN UNIVERSITY OF MEDICINE,NORTH CHICAGO,IL,60064,0,0,0,0,0,,,0
1663,SPERTUS COLLEGE,CHICAGO,IL,60605,3798,5064,2532,7596,6330,10193,15132,25323
1664,UNIVERSITY OF ST FRANCIS,JOLIET,IL,60435,165,221,110,331,276,428,681,1106
1665,COLUMBIA COLLEGE,CHICAGO,IL,60605,5,6,3,10,8,3,33,34
1666,CONCORDIA UNIVERSITY,RIVER FOREST,IL,60305,238,317,158,476,397,158,1433,1589
1669,DANVILLE AREA COMMUNITY COLLEGE,DANVILLE,IL,61832,1010,1347,673,2020,1683,2709,4029,6735
1671,DEPAUL UNIVERSITY,CHICAGO,IL,60604,73,98,49,147,123,122,373,493
1674,EASTERN ILLINOIS UNIVERSITY,CHARLESTON,IL,61920,359,479,239,718,598,961,1436,2395
1675,ELGIN COMMUNITY COLLEGE,ELGIN,IL,60123,9,13,6,19,16,65,4,66
1676,ELMHURST COLLEGE,ELMHURST,IL,60126,271,362,181,543,452,538,1274,1810
1678,EUREKA COLLEGE,EUREKA,IL,61530,24,32,16,48,40,7,155,160
1681,HIGHLAND COMMUNITY COLLEGE,FREEPORT,IL,61032,328,437,218,656,547,1078,1113,2189
1684,GREENVILLE COLLEGE,GREENVILLE,IL,62246,1896,2528,1264,3792,3160,5276,7369,12643
1685,HEBREW THEOLOGICAL COLLEGE,SKOKIE,IL,60077,15,20,10,30,25,4,100,102
1688,ILLINOIS COLLEGE,JACKSONVILLE,IL,62650,11,15,7,22,18,8,70,75
1689,ILLINOIS COLLEGE OF OPTOMETRY,CHICAGO,IL,60616,207,276,138,414,345,589,796,1383
1691,ILLINOIS INSTITUTE OF TECHNOLOGY,CHICAGO,IL,60616,2213,2951,1475,4426,3688,6065,8694,14755
1692,ILLINOIS STATE UNIVERSITY,NORMAL,IL,61790,223,298,149,447,372,689,804,1490
1693,NORTHEASTERN ILLINOIS UNIV,CHICAGO,IL,60625,4808,6411,3205,9616,8013,13012,19046,32055
1694,CHICAGO STATE UNIVERSITY,CHICAGO,IL,60628,3162,4217,2108,6325,5271,8584,12504,21086
1696,ILLINOIS WESLEYAN UNIVERSITY,BLOOMINGTON,IL,61701,370,494,247,741,617,1074,1399,2470
1699,JOLIET JUNIOR COLLEGE,JOLIET,IL,60431,444,593,296,889,741,1250,1717,2965
1700,JUDSON UNIVERSITY,ELGIN,IL,60123,9442,12590,6295,18885,15737,28282,34671,62950
1701,KASKASKIA COLLEGE,CENTRALIA,IL,62801,2661,3548,1774,5322,4435,7871,9870,17740
1703,KENDALL COLLEGE,CHICAGO,IL,60622,48,65,32,97,81,74,255,326
1704,KNOX COLLEGE,GALESBURG,IL,61401,33,44,22,66,55,14,209,220
1705,ILLINOIS VALLEY COMMUNITY COLLEGE,OGLESBY,IL,61348,2139,2852,1426,4278,3565,6500,7765,14263
1706,LAKE FOREST COLLEGE,LAKE FOREST,IL,60045,19,26,13,39,32,14,118,130
1707,LEWIS UNIVERSITY,ROMEOVILLE,IL,60446,7,9,4,14,12,1,50,49
1708,LINCOLN CHRISTIAN UNIVERSITY,LINCOLN,IL,62656,575,767,383,1150,958,2142,1697,3835
1709,LINCOLN COLLEGE,LINCOLN,IL,62656,6,8,4,12,10,1,40,40
1710,LOYOLA UNIVERSITY CHICAGO,CHICAGO,IL,60626,73,97,48,146,122,200,291,489
1716,MACCORMAC COLLEGE,CHICAGO,IL,60602,44,58,29,88,73,73,223,294
1717,MACMURRAY COLLEGE,JACKSONVILLE,IL,62650,42,57,28,85,71,65,222,285
1722,MCKENDREE UNIVERSITY,LEBANON,IL,62254,368,490,245,736,613,1035,1421,2454
1724,MILLIKIN UNIVERSITY,DECATUR,IL,62522,213,284,142,426,355,540,884,1422
1725,MONMOUTH COLLEGE,MONMOUTH,IL,61462,57,76,38,114,95,228,152,380
1727,MOODY BIBLE INSTITUTE,CHICAGO,IL,60610,784,1045,522,1568,1307,2659,2572,5229
1728,MORTON COLLEGE,CICERO,IL,60804,320,426,213,640,533,928,1208,2134
1732,NATIONAL UNIV OF HEALTH SCIENCES,LOMBARD,IL,60148,15,20,10,30,25,46,56,100
1733,NATIONAL-LOUIS UNIVERSITY,CHICAGO,IL,60603,766,1022,511,1533,1278,2265,2849,5112
1734,NORTH CENTRAL COLLEGE,NAPERVILLE,IL,60540,1490,1986,993,2980,2483,3783,6153,9934
1735,NORTH PARK UNIVERSITY,CHICAGO,IL,60625,1490,1986,993,2980,2483,3783,6153,9934
1737,NORTHERN ILLINOIS UNIVERSITY,DEKALB,IL,60115,1490,1986,993,2980,2483,3783,6153,9934
1739,NORTHWESTERN UNIV,EVANSTON,IL,60208,1490,1986,993,2980,2483,3783,6153,9934
1741,OLIVET NAZARENE UNIVERSITY,BOURBONNAIS,IL,60914,1490,1986,993,2980,2483,3783,6153,9934
1742,IL EASTERN COMM COLGS-OLNEY CENTRAL,OLNEY,IL,62450,201,268,134,402,335,553,793,1343
1745,QUINCY UNIVERSITY,QUINCY,IL,62301,6,9,4,13,11,2,45,45
1746,ROBERT MORRIS UNIVERSITY ILLINOIS,CHICAGO,IL,60605,749,999,499,1498,1248,1617,3381,4995
1747,ROCK VALLEY COLLEGE,ROCKFORD,IL,61114,784,1045,522,1568,1307,2659,2572,5229
1748,ROCKFORD UNIVERSITY,ROCKFORD,IL,61108,651,869,434,1303,1086,1377,2972,4346
1749,ROOSEVELT UNIVERSITY,CHICAGO,IL,60605,15,20,10,30,25,20,80,100
1750,DOMINICAN UNIVERSITY,RIVER FOREST,IL,60305,24,32,16,48,40,5,158,160
1752,SAUK VALLEY COMMUNITY COLLEGE,DIXON,IL,61021,13,18,9,27,22,7,85,90
1753,SCHOOL OF ART INSTITUTE OF CHICAGO,CHICAGO,IL,60603,15,21,10,31,26,5,103,106
1756,SHIMER COLLEGE,CHICAGO,IL,60616,5700,7601,3800,11401,9501,18185,19822,38005
1757,SOUTHEASTERN ILLINOIS COLLEGE,HARRISBURG,IL,62946,25,34,17,51,42,121,52,170
E00505,ST JOSEPH'S COLLEGE-SUFFOLK CAMPUS,PATCHOGUE,NY,11772,10,13,6,20,17,0,70,69
E00546,NY INSTITUTE OF TECHNOLOGY-OSTEOPATHIC M,OLD WESTBURY,NY,11568,412,550,275,825,688,943,1812,2753
E00911,PACIFIC COLLEGE OF ORIENTAL MEDICINE - N,NEW YORK,NY,10010,249,333,166,499,416,908,760,1666
E00922,ITT TECHNICAL INSTITUTE,ALBANY,NY,12205,3344,4459,2229,6688,5573,10495,11803,22295
E01255,LINCOLN TECHNICAL INSTITUTE - WHITESTONE,WHITESTONE,NY,11357,5356,7142,3571,10713,8928,20155,15559,35712
E01670,RIDLEY - LOWELL BUSINESS & TECHNICAL INS,POUGHKEEPSIE,NY,12601,16,21,10,32,27,0,110,109
E01719,CONTINENTAL SCHOOL OF BEAUTY CULTURE - B,BUFFALO,NY,14223,268,358,179,537,448,891,904,1793
E01739,MAKE-UP DESIGNORY -,NEW YORK,NY,10012,211,281,140,422,352,553,857,1409
E01740,ALLEN SCHOOL - BROOKLYN,BROOKLYN,NY,11201,4389,5853,2926,8779,7316,14776,14493,29266
E01868,FINGER LAKES SCHOOL OF MASSAGE (THE) -,MOUNT KISCO,NY,10549,414,553,276,829,691,723,2044,2765
E01897,CONTINENTAL SCHOOL OF BEAUTY CULTURE - M,MATTYDALE,NY,13211,664,886,443,1329,1107,2125,2308,4430
E01999,CONTINENTAL SCHOOL OF BEAUTY CULTURE -,BATAVIA,NY,14020,16,22,11,33,27,106,6,110
E02126,"JOHN PAOLO'S XTREME BEAUTY INSTITUTE, GO",NEW YORK MILLS,NY,13417,46,62,31,93,77,52,261,310
E02188,NEW YORK MEDICAL CAREER TRAINING CENTER,NEW YORK,NY,10018,793,1057,528,1586,1322,2288,3002,5289
