School Code,School Name,Address,City,State Code,Zip Code,Student Growth Rating,Growth Reading Grades Tested Pct ES,Growth Math Grades Tested Pct ES,Student Attainment Rating,Creative School Certification,School Survey Ambitious Instruction,School Survey Effective Leaders,School Survey Collaborative Teachers,School Survey Safety,School Survey Parent Teacher Partnership,School Survey Quality Of Facilities,Student Attendance,Teacher Attendance
E00961,TRINITY INTERNATIONAL UNIV-CA,2200 N. GRAND AVE,SANTA ANA,CA,92705,AVERAGE,,,BELOW AVERAGE,DEVELOPING,STRONG,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,90.6,93.8
E01182,KAPLAN COLLEGE - PALM SPRINGS,2475 EAST TAHQUITZ CANYON WAY,PALM SPRINGS,CA,92262,BELOW AVERAGE,87,93,ABOVE AVERAGE,EXCELLING,NEUTRAL,STRONG,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,94.4,94.5
E01191,KAPLAN COLLEGE - BAKERSFIELD,1914 WIBLE ROAD,BAKERSFIELD,CA,93304,FAR ABOVE AVERAGE,79,72,AVERAGE,EXCELLING,STRONG,STRONG,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,96.3,95.6
E01197,KAPLAN COLLEGE - FRESNO,44 SHAW AVENUE,CLOVIS,CA,93612,ABOVE AVERAGE,76,68,FAR ABOVE AVERAGE,EXCELLING,NEUTRAL,WEAK,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,95,94.2
E01285,KAPLAN COLLEGE - RIVERSIDE,4040 VINE STREET,RIVERSIDE,CA,92507,ABOVE AVERAGE,,,FAR BELOW AVERAGE,EXCELLING,STRONG,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,89.2,95.2
E01713,CAREER CARE INSTITUTE - VENTURA,2151 ALESSANDRO DRIVE,VENTURA,CA,93001,FAR BELOW AVERAGE,86,82,BELOW AVERAGE,STRONG,STRONG,STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,95.5,96.1
E01826,UNITED EDUCATION INSTITUTE - ONTARIO,4730 ONTARIO MILLS PARKWAY,ONTARIO,CA,91764,ABOVE AVERAGE,92,95,ABOVE AVERAGE,EXCELLING,STRONG,NEUTRAL,WEAK,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,96.4,94.8
E01827,UNITED EDUCATION INSTITUTE - ENCINO,5445 BALBOA BOULEVARD,ENCINO,CA,91316,FAR ABOVE AVERAGE,71,42,BELOW AVERAGE,EXCELLING,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,95.2,94.8
E01841,KAPLAN COLLEGE - CHULA VISTA,"CHULA VISTA CENTER, SUITE 144",CHULA VISTA,CA,91910,ABOVE AVERAGE,78,43,BELOW AVERAGE,EXCELLING,STRONG,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,95.2,95.1
E01882,EVEREST COLLEGE - SANTA ANA,500 WEST SANTA ANA BOULEVARD,SANTA ANA,CA,92701,ABOVE AVERAGE,30,63,BELOW AVERAGE,EMERGING,STRONG,STRONG,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,95.1,94
E01886,UNITED EDUCATION INSTITUTE - CHULA VISTA,310 THIRD AVENUE,CHULA VISTA,CA,91910,AVERAGE,,,BELOW AVERAGE,DEVELOPING,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,93.4,
E01887,UNITED EDUCATION INSTITUTE - EL MONTE,3401 RIO HONDO AVENUE,EL MONTE,CA,91731,ABOVE AVERAGE,79,69,AVERAGE,EMERGING,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,STRONG,VERY STRONG,96.5,
E01888,UNITED EDUCATION INSTITUTE - ANAHEIM,401 CARL KARCHER WAY,ANAHEIM,CA,92801,ABOVE AVERAGE,,,NO DATA AVAILABLE,INCOMPLETE DATA,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,77.5,
E01928,UNITED EDUCATION INSTITUTE - UEI COLLEGE,2085 MONTIEL ROAD,SAN MARCOS,CA,92069,NO DATA AVAILABLE,71,40,AVERAGE,EXCELLING,NEUTRAL,WEAK,WEAK,WEAK,NEUTRAL,NEUTRAL,94.1,95
E01947,CAREER CARE INSTITUTE - MORENO VALLEY,22500 TOWN CIRCLE SUITE 2205,MORENO VALLEY,CA,92553,ABOVE AVERAGE,,,AVERAGE,DEVELOPING,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,96.1,95.8
E01977,UEI COLLEGE-RIVERSIDE,1860 UNIVERSITY AVENUE,RIVERSIDE,CA,92507,NO DATA AVAILABLE,,,FAR BELOW AVERAGE,DEVELOPING,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,76.2,94.3
E02024,MEDIATECH INSTITUTE - OCEANSIDE,302 OCEANSIDE BOULEVARD,OCEANSIDE,CA,92054,BELOW AVERAGE,,,AVERAGE,DEVELOPING,STRONG,STRONG,VERY STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,93.5,96.2
E02028,UNITED EDUCATION INSTITUTE - UEI COLLEGE,4994 CLAREMONT AVENUE,STOCKTON,CA,95207,ABOVE AVERAGE,89,63,ABOVE AVERAGE,EXCELLING,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,96.2,95
E02077,WESTMED COLLEGE - MERCED,"330 E. YOSEMITE AVE, STE. 201",MERCED,CA,95340,ABOVE AVERAGE,,,NO DATA AVAILABLE,INCOMPLETE DATA,STRONG,STRONG,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,93.3,
E02091,NCP COLLEGE OF NURSING - HAYWARD CAMPUS,21615 HESPERIAN BOULEVARD,HAYWARD,CA,94541,NO DATA AVAILABLE,46,47,ABOVE AVERAGE,EXCELLING,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,96.6,
E02113,PAUL MITCHELL THE SCHOOL-COSTA MESA,3309 HYLAND AVENUE SUITE J,COSTA MESA,CA,92626,AVERAGE,54,58,BELOW AVERAGE,DEVELOPING,VERY STRONG,STRONG,VERY STRONG,WEAK,WEAK,NEUTRAL,95.1,94.1
E02116,PAUL MITCHELL THE SCHOOL - SAN DIEGO,410 A STREET,SAN DIEGO,CA,92101,AVERAGE,,,AVERAGE,EXCELLING,VERY STRONG,WEAK,WEAK,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,92.8,94.9
E02133,PLATT COLLEGE - RIVERSIDE,"6465 SYCAMORE CANYON BLVD, STE. 100",RIVERSIDE,CA,92507,AVERAGE,,,FAR BELOW AVERAGE,INCOMPLETE DATA,STRONG,NEUTRAL,STRONG,WEAK,VERY STRONG,VERY STRONG,76.2,
E02208,ADVANCE BEAUTY COLLEGE - LAGUNA HILLS,23565 MOULTON PARKWAY STES A AND B,LAGUNA HILLS,CA,92653,NO DATA AVAILABLE,58,19,BELOW AVERAGE,EXCELLING,NEUTRAL,STRONG,STRONG,WEAK,NEUTRAL,STRONG,95.9,94.6
E40398,HUSSIAN SCHOOL OF ART-RELATIVITY CAMPUS,1201 W. 5TH STREET,LOS ANGELES,CA,90017,AVERAGE,89,85,ABOVE AVERAGE,EXCELLING,VERY STRONG,STRONG,STRONG,NEUTRAL,WEAK,STRONG,97,95.1
E40424,UEI COLLEGE - BAKERSFIELD,3737 ROSEDALE HIGHWAY,BAKERSFIELD,CA,93308,ABOVE AVERAGE,54,43,AVERAGE,EXCELLING,NEUTRAL,NEUTRAL,STRONG,WEAK,NEUTRAL,NEUTRAL,95,96
G01120,AMER BAPT SEM OF THE WEST-BERKELEY,2606 DWIGHT WAY,BERKELEY,CA,94704,AVERAGE,71,45,ABOVE AVERAGE,EXCELLING,STRONG,STRONG,STRONG,WEAK,STRONG,STRONG,95.4,94.6
G01165,CHURCH DIV SCH OF THE PACIFIC,2451 RIDGE RD,BERKELEY,CA,94709,ABOVE AVERAGE,86,40,AVERAGE,EXCELLING,STRONG,NEUTRAL,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,95.8,95.8
G01169,CLAREMONT GRADUATE UNIVERSITY,170 E 10TH ST,CLAREMONT,CA,91711,ABOVE AVERAGE,,,BELOW AVERAGE,EMERGING,STRONG,WEAK,WEAK,VERY WEAK,NEUTRAL,WEAK,87,
G01200,FULLER THEOLOGICAL SEMINARY,135 N OAKLAND,PASADENA,CA,91182,AVERAGE,22,12,AVERAGE,EXCELLING,STRONG,STRONG,STRONG,NEUTRAL,STRONG,STRONG,93.7,94
G01207,GRADUATE THEOLOGICAL UNION,2400 RIDGE ROAD,BERKELEY,CA,94709,BELOW AVERAGE,70,76,FAR ABOVE AVERAGE,EXCELLING,STRONG,NEUTRAL,STRONG,STRONG,STRONG,STRONG,96.6,95.6
G01256,PACIFIC SCHOOL OF RELIGION,1798 SCENIC AVE,BERKELEY,CA,94709,ABOVE AVERAGE,92,57,AVERAGE,DEVELOPING,STRONG,STRONG,STRONG,WEAK,NEUTRAL,NEUTRAL,95.1,94.5
G01279,SAN FRANCISCO THEOLOGICAL SEMINARY,105 SEMINARY ROAD,SAN ANSELMO,CA,94960,ABOVE AVERAGE,,,FAR BELOW AVERAGE,EMERGING,NEUTRAL,NEUTRAL,NEUTRAL,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,90.5,94
G01288,CLAREMONT SCHOOL OF THEOLOGY,1325 N COLLEGE AVE,CLAREMONT,CA,91711,BELOW AVERAGE,88,76,FAR ABOVE AVERAGE,DEVELOPING,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,96.3,95.9
G01295,SOUTHWESTERN LAW SCHOOL,3050 WILSHIRE BOULEVARD,LOS ANGELES,CA,90010,ABOVE AVERAGE,86,70,BELOW AVERAGE,STRONG,NEUTRAL,NEUTRAL,WEAK,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,94.9,94.9
G03947,UC-HASTINGS COLLEGE OF THE LAW,200 MCALLISTER ST,SAN FRANCISCO,CA,94102,ABOVE AVERAGE,46,50,AVERAGE,EMERGING,WEAK,STRONG,STRONG,NEUTRAL,STRONG,NEUTRAL,96.3,
G04080,STARR KING SCHOOL FOR THE MINISTRY,2441 LE CONTE AVENUE,BERKELEY,CA,94709,AVERAGE,70,32,BELOW AVERAGE,INCOMPLETE DATA,NOT ENOUGH DATA,STRONG,STRONG,NOT ENOUGH DATA,VERY STRONG,VERY STRONG,96.3,
G06976,UNIVERSITY OF SAN DIEGO - SCHOOL OF LAW,5998 ALCALA PARK,SAN DIEGO,CA,92110,AVERAGE,86,86,ABOVE AVERAGE,DEVELOPING,VERY STRONG,STRONG,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,95.9,95.6
G08846,WRIGHT INSTITUTE,2728 DURANT AVE,BERKELEY,CA,94704,ABOVE AVERAGE,,,FAR BELOW AVERAGE,INCOMPLETE DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,73,
G10013,ALLIANT INTERNATIONAL UNIVERSITY - LOS A,1000 SOUTH FREMONT AVENUE,ALHAMBRA,CA,91803,NO DATA AVAILABLE,91,84,ABOVE AVERAGE,EXCELLING,NEUTRAL,NEUTRAL,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,95.4,96
G10333,JESUIT SCHOOL OF THEOLOGY - BERKELEY,1735 LEROY AVENUE,BERKELEY,CA,94709,FAR ABOVE AVERAGE,76,88,ABOVE AVERAGE,STRONG,STRONG,STRONG,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,96.4,95.8
G10441,PARDEE RAND GRADUATE SCHOOL,1776 MAIN STREET,SANTA MONICA,CA,90407,ABOVE AVERAGE,38,61,AVERAGE,EMERGING,VERY STRONG,WEAK,WEAK,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,93.9,
G11792,FRANCISCAN SCHOOL OF THEOLOGY,4050 MISSION AVENUE,OCEANSIDE,CA,92057,AVERAGE,86,88,AVERAGE,INCOMPLETE DATA,VERY STRONG,VERY STRONG,VERY STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,97.9,
G11881,ALLIANT INTERNATIONAL UNIVERSITY - SAN F,ONE BEACH STREET,SAN FRANCISCO,CA,94133,ABOVE AVERAGE,,,NO DATA AVAILABLE,INCOMPLETE DATA,VERY STRONG,NEUTRAL,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,92.6,
G13103,CALIFORNIA WESTERN SCHOOL OF LAW,225 CEDAR STREET,SAN DIEGO,CA,92101,NO DATA AVAILABLE,78,50,BELOW AVERAGE,STRONG,STRONG,NEUTRAL,NEUTRAL,WEAK,WEAK,VERY WEAK,94.1,94.1
G20961,FIELDING GRADUATE UNIVERSITY,2112 SANTA BARBARA STREET,SANTA BARBARA,CA,93105,ABOVE AVERAGE,87,30,BELOW AVERAGE,DEVELOPING,STRONG,WEAK,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,95.4,94.7
G21206,SAYBROOK GRADUATE SCHOOL,747 FRONT STREET,SAN FRANCISCO,CA,94111,AVERAGE,68,58,AVERAGE,INCOMPLETE DATA,VERY STRONG,VERY STRONG,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,95.1,
G22220,AMERICAN FILM INSTITUTE,2021 N WESTERN AVE,LOS ANGELES,CA,90027,AVERAGE,,,BELOW AVERAGE,DEVELOPING,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,STRONG,STRONG,92.9,96.4
G22249,STANFORD UNIVERSITY - GRADUATE SCHOOL OF,"655 KNIGHT WAY, MCCLELLAND BUILDING",STANFORD,CA,94305,AVERAGE,,,FAR BELOW AVERAGE,EMERGING,WEAK,WEAK,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,55.3,
G22372,PHILLIPS GRADUATE INSTITUTE,19900 PLUMMER STREET,CHATSWORTH,CA,91311,NO DATA AVAILABLE,90,68,BELOW AVERAGE,STRONG,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,95.1,95.4
G22676,INSTITUTE OF TRANSPERSONAL PSYCHLGY,1069 EAST MEADOW CIRCLE,PALO ALTO,CA,94303,ABOVE AVERAGE,88,65,AVERAGE,DEVELOPING,STRONG,STRONG,STRONG,WEAK,NEUTRAL,NEUTRAL,95.7,93.6
G22768,WESTMINSTER SEMINARY CALIFORNIA,1725 BEAR VALLEY PKY,ESCONDIDO,CA,92027,ABOVE AVERAGE,,,NO DATA AVAILABLE,INCOMPLETE DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,,
G24552,STANFORD UNIVERSITY - SCHOOL OF MEDICINE,1265 WELCH ROAD,STANFORD,CA,94305,NO DATA AVAILABLE,94,77,BELOW AVERAGE,EXCELLING,STRONG,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,WEAK,95.1,94.7
G25111,ALLIANT INTERNATIONAL UNIVERSITY - FRESN,5130 EAST CLINTON WAY,FRESNO,CA,93727,FAR ABOVE AVERAGE,54,76,AVERAGE,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,96.3,
G31268,PACIFICA GRADUATE INSTITUTE,249 LAMBERT ROAD,CARPINTERIA,CA,93013,FAR ABOVE AVERAGE,99,89,BELOW AVERAGE,EXCELLING,STRONG,NEUTRAL,STRONG,VERY WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,94.6,95.7
G32883,ACAD CHINESE CULTURE & HEALTH SCIS,1601 CLAY STREET,OAKLAND,CA,94512,FAR ABOVE AVERAGE,78,35,AVERAGE,DEVELOPING,STRONG,NEUTRAL,WEAK,VERY WEAK,VERY STRONG,VERY STRONG,95.4,94.9
G35924,IRELL & MANELLA GRADUATE SCHOOL OF BIOLO,1500 EAST DUARTE ROAD,DUARTE,CA,91010,AVERAGE,88,73,FAR ABOVE AVERAGE,EXCELLING,STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,96.3,95.3
G38533,KECK GRADUATE INSTITUTE OF APPLIED LIFE,535 WATSON DRIVE,CLAREMONT,CA,91711,ABOVE AVERAGE,62,65,AVERAGE,DEVELOPING,STRONG,STRONG,STRONG,NEUTRAL,VERY STRONG,STRONG,94.2,95
G41004,TAFT UNIVERSITY SYSTEM (THE),3700 SOUTH SUSAN STREET,SANTA ANA,CA,92704,AVERAGE,88,88,BELOW AVERAGE,EXCELLING,VERY STRONG,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,95,93.2
G41555,"ACADEMY FOR JEWISH RELIGION, CALIFORNIA",574 HILGARD AVENUE,LOS ANGELES,CA,90024,ABOVE AVERAGE,82,78,BELOW AVERAGE,STRONG,STRONG,NEUTRAL,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,93.5,93.9
G42174,HIGH TECH HIGH GRADUATE SCHOOL OF EDUCAT,2861 WOMBLE ROAD,SAN DIEGO,CA,92106,ABOVE AVERAGE,68,69,FAR BELOW AVERAGE,DEVELOPING,STRONG,WEAK,WEAK,WEAK,NEUTRAL,NEUTRAL,92.4,93.8
1111,ALLAN HANCOCK COLLEGE,800 SO COLLEGE DRIVE,SANTA MARIA,CA,93454,AVERAGE,73,22,ABOVE AVERAGE,DEVELOPING,VERY STRONG,NEUTRAL,WEAK,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,96.1,94.6
1113,ANTELOPE VALLEY COLLEGE,3041 WEST AVE K,LANCASTER,CA,93536,AVERAGE,99,89,FAR ABOVE AVERAGE,EXCELLING,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,NEUTRAL,NEUTRAL,96.5,92.7
1116,ART CENTER COLLEGE OF DESIGN,1700 LIDA STREET,PASADENA,CA,91103,FAR ABOVE AVERAGE,58,40,AVERAGE,STRONG,STRONG,NEUTRAL,NEUTRAL,WEAK,WEAK,NEUTRAL,95.1,94.7
1117,AZUSA PACIFIC UNIVERSITY,901 EAST ALOSTA AVENUE,AZUSA,CA,91702,AVERAGE,73,87,BELOW AVERAGE,DEVELOPING,VERY STRONG,NEUTRAL,NEUTRAL,VERY STRONG,NEUTRAL,NEUTRAL,95.7,94.7
1118,BAKERSFIELD COLLEGE,1801 PANORAMA DRIVE,BAKERSFIELD,CA,93305,ABOVE AVERAGE,85,52,AVERAGE,EXCELLING,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,95.3,96.2
1119,BARSTOW COMMUNITY COLLEGE,2700 BARSTOW ROAD,BARSTOW,CA,92311,ABOVE AVERAGE,54,98,AVERAGE,EXCELLING,VERY STRONG,STRONG,STRONG,STRONG,WEAK,STRONG,95.7,93.5
1122,BIOLA UNIVERSITY,13800 BIOLA AVE,LA MIRADA,CA,90639,ABOVE AVERAGE,54,89,AVERAGE,INCOMPLETE DATA,STRONG,NEUTRAL,STRONG,WEAK,WEAK,NEUTRAL,95.6,95.1
1124,CABRILLO COLLEGE,6500 SOQUEL DRIVE,APTOS,CA,95003,ABOVE AVERAGE,92,94,BELOW AVERAGE,INCOMPLETE DATA,VERY STRONG,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,93.3,95.4
1125,CALIFORNIA BAPTIST UNIVERSITY,8432 MAGNOLIA AVE,RIVERSIDE,CA,92504,FAR ABOVE AVERAGE,,,AVERAGE,INCOMPLETE DATA,VERY STRONG,WEAK,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,94.2,
1127,CALIFORNIA COLLEGE OF THE ARTS,1111 EIGHTH STREET,SAN FRANCISCO,CA,94107,FAR ABOVE AVERAGE,66,77,BELOW AVERAGE,EXCELLING,STRONG,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,96.5,94.6
1131,CALIFORNIA INSTITUTE OF TECHNOLOGY,1201 E CALIFORNIA BLVD,PASADENA,CA,91125,ABOVE AVERAGE,81,73,AVERAGE,EXCELLING,VERY STRONG,NEUTRAL,NEUTRAL,VERY STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,95.4,97.8
1132,CALIFORNIA INSTITUTE OF THE ARTS,24700 MCBEAN PARKWAY,VALENCIA,CA,91355,ABOVE AVERAGE,76,45,AVERAGE,DEVELOPING,STRONG,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NEUTRAL,96.1,94.9
1133,CALIFORNIA LUTHERAN UNIVERSITY,60 WEST OLSEN ROAD,THOUSAND OAKS,CA,91360,ABOVE AVERAGE,99,97,AVERAGE,STRONG,VERY STRONG,NEUTRAL,STRONG,NEUTRAL,VERY STRONG,VERY STRONG,95.5,94.7
1134,CALIFORNIA MARITIME ACADEMY,POST OFFICE BOX 1392,VALLEJO,CA,94590,FAR ABOVE AVERAGE,75,50,AVERAGE,DEVELOPING,STRONG,NEUTRAL,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,95.6,96.2
1137,CALIF STATE UNIV-FULLERTON,800 N STATE CLG BLVD FIN AID,FULLERTON,CA,92831,ABOVE AVERAGE,,,FAR ABOVE AVERAGE,STRONG,NOT ENOUGH DATA,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,92.5,
1138,"CALIFORNIA STATE UNIVERSITY, EAST BAY",25800 CARLOS BEE BLVD,HAYWARD,CA,94542,NO DATA AVAILABLE,,,FAR BELOW AVERAGE,INCOMPLETE DATA,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,WEAK,VERY STRONG,WEAK,70.4,
1139,CALIF STATE UNIV-LONG BEACH,1250 BELLFLOWER BOULEVARD,LONG BEACH,CA,90840,NO DATA AVAILABLE,,,BELOW AVERAGE,STRONG,STRONG,STRONG,VERY STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,91.8,95.6
1140,CALIF STATE UNIV-LOS ANGELES,5151 STATE UNIV DR,LOS ANGELES,CA,90032,AVERAGE,,,BELOW AVERAGE,STRONG,VERY STRONG,STRONG,VERY STRONG,NEUTRAL,NEUTRAL,STRONG,94.5,95.7
1141,"CALIF STATE UNIV, DOMINGUEZ HILLS",1000 E VICTORIA STREET,CARSON,CA,90747,AVERAGE,,,AVERAGE,DEVELOPING,NOT ENOUGH DATA,NEUTRAL,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,89.9,
1142,CALIF STATE UNIV SAN BERNARDINO,5500 UNIVERSITY PKWY,SAN BERNARDINO,CA,92407,FAR ABOVE AVERAGE,,,FAR BELOW AVERAGE,INCOMPLETE DATA,STRONG,STRONG,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,,
1143,CAL POLY STATE UNIVERSITY,FINANCIAL AID OFFICE,SAN LUIS OBISPO,CA,93407,NO DATA AVAILABLE,93,93,AVERAGE,EXCELLING,VERY STRONG,VERY STRONG,VERY STRONG,VERY STRONG,STRONG,STRONG,95.8,95.2
1144,CALIF STATE POLYTECHNIC UNIV POMONA,3801 W TEMPLE AVE,POMONA,CA,91768,FAR ABOVE AVERAGE,58,30,FAR ABOVE AVERAGE,EXCELLING,STRONG,NEUTRAL,STRONG,VERY STRONG,VERY STRONG,VERY STRONG,95.8,96.3
1146,CALIF STATE UNIV - CHICO,400 WEST FIRST STREET,CHICO,CA,95929,AVERAGE,,,BELOW AVERAGE,EXCELLING,STRONG,STRONG,STRONG,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,90.8,95.6
1147,CALIF STATE UNIV - FRESNO,5150 N MAPLE AVE MS JA64,FRESNO,CA,93740,BELOW AVERAGE,70,50,BELOW AVERAGE,DEVELOPING,NEUTRAL,NEUTRAL,STRONG,WEAK,NEUTRAL,NEUTRAL,95.3,95
